absolute_course_url,course_name,subject_name
https://www.class-central.com/mooc/4280/coursera-games-sensors-and-media,"Games, Sensors and Media",Programming 
https://www.class-central.com/mooc/5613/coursera--netweb,基于.Net的Web开发技术,Programming 
https://www.class-central.com/mooc/7087/coursera-python-programming-a-concise-introduction,Python Programming: A Concise Introduction,Programming 
https://www.class-central.com/mooc/4318/coursera-reviews-metrics-for-software-improvements,Reviews & Metrics for Software Improvements,Programming 
https://www.class-central.com/mooc/1031/coursera-beginning-game-programming-with-c,Beginning Game Programming with C#,Programming 
https://www.class-central.com/mooc/2938/coursera-code-yourself-an-introduction-to-programming,Code Yourself! An Introduction to Programming,Programming 
https://www.class-central.com/mooc/4251/coursera-best-practices-for-ios-user-interface-design,Best Practices for iOS User Interface Design,Programming 
https://www.class-central.com/mooc/4302/coursera-client-needs-and-software-requirements,Client Needs and Software Requirements ,Programming 
https://www.class-central.com/mooc/4333/coursera-codapps-coding-mobile-apps-for-entrepreneurs,CODAPPS: Coding mobile apps for entrepreneurs,Programming 
https://www.class-central.com/mooc/3076/coursera-programming-mobile-applications-for-android-handheld-systems-part-2,Programming Mobile Applications for Android Handheld Systems: Part 2,Programming 
https://www.class-central.com/mooc/4187/coursera-software-processes-and-agile-practices,Software Processes and Agile Practices,Programming 
https://www.class-central.com/mooc/4327/coursera-toward-the-future-of-ios-development-with-swift,Toward the Future of iOS Development with Swift,Programming 
https://www.class-central.com/mooc/6683/coursera-unity,基于Unity引擎的游戏开发进阶,Programming 
https://www.class-central.com/mooc/5279/coursera-----3---,Разработка корпоративных систем. Часть 3. Гибкие методологии разработки,Programming 
https://www.class-central.com/mooc/5673/coursera-orientacao-a-objetos-com-java,Orientação a Objetos com Java,Programming 
https://www.class-central.com/mooc/390/coursera-learn-to-program-crafting-quality-code,Learn to Program: Crafting Quality Code,Programming 
https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,An Introduction to Interactive Programming in Python (Part 1),Programming 
https://www.class-central.com/mooc/3357/coursera--software-testing,软件测试 (Software Testing),Programming 
https://www.class-central.com/mooc/4177/coursera-como-aprimorar-e-monetizar-seu-aplicativo-para-ios-e-apple-watch,Como aprimorar e monetizar seu aplicativo para iOS e Apple Watch,Programming 
https://www.class-central.com/mooc/4254/coursera-c,计算导论与C语言基础,Programming 
